county,precinct,office,district,candidate,party,votes
Wayne,"City of Detroit, Precinct 340",Ballots Cast,"","","",154
Wayne,"City of Detroit, Precinct 341",Ballots Cast,"","","",304
Wayne,"City of Detroit, Precinct 342",Ballots Cast,"","","",290
Wayne,"City of Detroit, Precinct 343",Ballots Cast,"","","",338
Wayne,"City of Detroit, Precinct 344",Ballots Cast,"","","",280
Wayne,"City of Detroit, Precinct 345",Ballots Cast,"","","",291
Wayne,"City of Detroit, Precinct 346",Ballots Cast,"","","",211
Wayne,"City of Detroit, Precinct 347",Ballots Cast,"","","",258
Wayne,"City of Detroit, Precinct 348",Ballots Cast,"","","",162
Wayne,"City of Detroit, Precinct 349",Ballots Cast,"","","",118
Wayne,"City of Detroit, Precinct 350",Ballots Cast,"","","",66
Wayne,"City of Detroit, Precinct 351",Ballots Cast,"","","",148
Wayne,"City of Detroit, Precinct 352",Ballots Cast,"","","",303
Wayne,"City of Detroit, Precinct 353",Ballots Cast,"","","",66
Wayne,"City of Detroit, Precinct 354",Ballots Cast,"","","",194
Wayne,"City of Detroit, Precinct 355",Ballots Cast,"","","",374
Wayne,"City of Detroit, Precinct 356",Ballots Cast,"","","",224
Wayne,"City of Detroit, Precinct 357",Ballots Cast,"","","",117
Wayne,"City of Detroit, Precinct 358",Ballots Cast,"","","",137
Wayne,"City of Detroit, Precinct 359",Ballots Cast,"","","",202
Wayne,"City of Detroit, Precinct 360",Ballots Cast,"","","",230
Wayne,"City of Detroit, Precinct 361",Ballots Cast,"","","",236
Wayne,"City of Detroit, Precinct 362",Ballots Cast,"","","",116
Wayne,"City of Detroit, Precinct 363",Ballots Cast,"","","",268
Wayne,"City of Detroit, Precinct 364",Ballots Cast,"","","",102
Wayne,"City of Detroit, Precinct 365",Ballots Cast,"","","",132
Wayne,"City of Detroit, Precinct 366",Ballots Cast,"","","",139
Wayne,"City of Detroit, Precinct 367",Ballots Cast,"","","",161
Wayne,"City of Detroit, Precinct 368",Ballots Cast,"","","",197
Wayne,"City of Detroit, Precinct 369",Ballots Cast,"","","",275
Wayne,"City of Detroit, Precinct 370",Ballots Cast,"","","",160
Wayne,"City of Detroit, Precinct 371",Ballots Cast,"","","",183
Wayne,"City of Detroit, Precinct 372",Ballots Cast,"","","",102
Wayne,"City of Detroit, Precinct 373",Ballots Cast,"","","",175
Wayne,"City of Detroit, Precinct 374",Ballots Cast,"","","",197
Wayne,"City of Detroit, Precinct 375",Ballots Cast,"","","",264
Wayne,"City of Detroit, Precinct 376",Ballots Cast,"","","",216
Wayne,"City of Detroit, Precinct 377",Ballots Cast,"","","",235
Wayne,"City of Detroit, Precinct 378",Ballots Cast,"","","",191
Wayne,"City of Detroit, Precinct 379",Ballots Cast,"","","",296
Wayne,"City of Detroit, Precinct 380",Ballots Cast,"","","",181
Wayne,"City of Detroit, Precinct 381",Ballots Cast,"","","",167
Wayne,"City of Detroit, Precinct 382",Ballots Cast,"","","",116
Wayne,"City of Detroit, Precinct 383",Ballots Cast,"","","",192
Wayne,"City of Detroit, Precinct 384",Ballots Cast,"","","",265
Wayne,"City of Detroit, Precinct 385",Ballots Cast,"","","",137
Wayne,"City of Detroit, Precinct 386",Ballots Cast,"","","",230
Wayne,"City of Detroit, Precinct 387",Ballots Cast,"","","",158
Wayne,"City of Detroit, Precinct 388",Ballots Cast,"","","",96
Wayne,"City of Detroit, Precinct 389",Ballots Cast,"","","",218
Wayne,"City of Detroit, Precinct 390",Ballots Cast,"","","",85
Wayne,"City of Detroit, Precinct 391",Ballots Cast,"","","",77
Wayne,"City of Detroit, Precinct 392",Ballots Cast,"","","",178
Wayne,"City of Detroit, Precinct 393",Ballots Cast,"","","",168
Wayne,"City of Detroit, Precinct 394",Ballots Cast,"","","",182
Wayne,"City of Detroit, Precinct 395",Ballots Cast,"","","",163
Wayne,"City of Detroit, Precinct 396",Ballots Cast,"","","",118
Wayne,"City of Detroit, Precinct 397",Ballots Cast,"","","",159
Wayne,"City of Detroit, Precinct 398",Ballots Cast,"","","",211
Wayne,"City of Detroit, Precinct 399",Ballots Cast,"","","",184
Wayne,"City of Detroit, Precinct 400",Ballots Cast,"","","",165
Wayne,"City of Detroit, Precinct 401",Ballots Cast,"","","",152
Wayne,"City of Detroit, Precinct 402",Ballots Cast,"","","",138
Wayne,"City of Detroit, Precinct 403",Ballots Cast,"","","",216
Wayne,"City of Detroit, Precinct 404",Ballots Cast,"","","",134
Wayne,"City of Detroit, Precinct 405",Ballots Cast,"","","",204
Wayne,"City of Detroit, Precinct 406",Ballots Cast,"","","",128
Wayne,"City of Detroit, Precinct 407",Ballots Cast,"","","",115
Wayne,"City of Detroit, Precinct 408",Ballots Cast,"","","",217
